hex_id,stat,utci_present,utci_2050,utci_2090
318,typical_day_mean_utci,34.03,38.29,41.58
357,typical_day_mean_utci,34.05,38.32,41.62
319,typical_day_mean_utci,34.77,39.2,42.67
588,typical_day_mean_utci,34.3,38.6,41.94
510,typical_day_mean_utci,34.76,39.17,42.62
550,typical_day_mean_utci,34.3,38.61,41.96
511,typical_day_mean_utci,34.88,39.33,42.82
589,typical_day_mean_utci,34.21,38.51,41.85
551,typical_day_mean_utci,34.78,39.21,42.68
512,typical_day_mean_utci,34.81,39.24,42.7
590,typical_day_mean_utci,34.59,38.97,42.39
552,typical_day_mean_utci,34.79,39.21,42.69
513,typical_day_mean_utci,34.89,39.32,42.79
473,typical_day_mean_utci,35.21,39.75,43.34
395,typical_day_mean_utci,34.89,39.33,42.82
434,typical_day_mean_utci,35.18,39.71,43.29
396,typical_day_mean_utci,34.96,39.41,42.9
474,typical_day_mean_utci,35.16,39.7,43.28
435,typical_day_mean_utci,35.21,39.77,43.38
397,typical_day_mean_utci,34.85,39.28,42.75
475,typical_day_mean_utci,35.09,39.58,43.12
436,typical_day_mean_utci,35.12,39.65,43.22
476,typical_day_mean_utci,34.97,39.44,42.96
591,typical_day_mean_utci,34.93,39.4,42.92
553,typical_day_mean_utci,34.99,39.46,42.98
514,typical_day_mean_utci,34.77,39.17,42.61
592,typical_day_mean_utci,34.75,39.18,42.66
554,typical_day_mean_utci,34.97,39.43,42.94
515,typical_day_mean_utci,34.99,39.47,42.99
593,typical_day_mean_utci,34.53,38.94,42.39
555,typical_day_mean_utci,34.79,39.21,42.68
594,typical_day_mean_utci,33.87,38.13,41.42
516,typical_day_mean_utci,34.96,39.42,42.92
398,typical_day_mean_utci,34.47,38.83,42.23
437,typical_day_mean_utci,35.13,39.65,43.22
399,typical_day_mean_utci,34.51,38.88,42.28
477,typical_day_mean_utci,34.74,39.16,42.63
438,typical_day_mean_utci,35.07,39.59,43.15
478,typical_day_mean_utci,35.03,39.53,43.07
400,typical_day_mean_utci,34.72,39.13,42.6
439,typical_day_mean_utci,34.68,39.08,42.53
401,typical_day_mean_utci,35.21,39.74,43.31
479,typical_day_mean_utci,34.06,38.31,41.6
358,typical_day_mean_utci,34.49,38.85,42.24
320,typical_day_mean_utci,34.91,39.37,42.88
359,typical_day_mean_utci,34.87,39.32,42.81
